Albert-László Barabási,108776
Duncan J Watts,46975
Alessandro Vespignani,25119
Nicholas A. Christakis,21496
KJ Ray Liu,19081
Olaf Sporns,18482
Ali H Sayed,17807
Brian Uzzi,17738
LIU Xiao fan,17381
Bruce J. West,13903
Ali Jadbabaie,10386
Nick Duffield,10139
Vicki Stover Hertzberg,9357
Constantine Dovrolis,8115
Madhav Marathe,7151
Mihaela van der Schaar,6651
Ernesto Estrada,6606
Jorge Cortes,6133
Filippo Menczer,5898
Ching-Yung Lin,5798
Pan Hui,5780
Cheng-Shang Chang,5744
Boleslaw Szymanski,5679
Nitesh V Chawla,5562
Anthony Paik,5541
Carl T. Bergstrom,5321
Adilson E. Motter,5171
Rajan Lukose,4609
Linyuan Lu,4498
david lazer,4495
Massimo Franceschetti,4453
Marian Boguña,4099
Katy Borner,4089
Jukka-Pekka "JP" Onnela,3679
Francisco C. Santos,3456
Cameron Marlow,3360
Ciro Cattuto,3127
Michael Vitevitch,3006
Abbe Mowshowitz,2902
Chaoming Song,2867
Abbe Mowshowitz,2864
Yong-Yeol Ahn,2704
Jesus Gomez-Gardenes,2679
Sergi Valverde,2320
Aric Hagberg,2292
Dmitri Krioukov,2191
Arun Sundararajan,1917
Naoki Masuda,1805
Joshua S Weitz,1682
Kenji Ito,1633
M. Ángeles Serrano,1631
Gyorgy Korniss,1545
Hiroki Sayama,1506
Daniel M. Romero,1454
Tamás Nepusz,1432
Andrea Baronchelli,1335
Philipp Hoevel,1285
Vijay Subramanian,1175
Daniel R. Figueiredo,1124
Massimo Franceschet,1056
James Bagrow,999
Omar Lizardo,968
Dirk Witthaut,926
Anthony H. Dekker,923
June Zhang,830
Roby Muhamad,822
David Meunier,820
Pedro Pinto,811
João Gama Oliveira,809
chjan lim,782
Jinshan Wu,751
Minas Gjoka,745
Lei Shi,680
GR jafari,649
Shreyas Sundaram,640
Jevin D. West,630
Weimao Ke,628
Balazs Szendroi,625
Nicola Perra,593
Masaki Aida,576
James A Kitts,569
Sameet Sreenivasan,553
Gourab Ghoshal,544
Mahdi Jalili,537
Fragkiskos Papadopoulos,533
Richard G. Clegg,503
Konstantinos Pelechrinis,448
Yan Chen,437
David Reitter,423
Balazs Vedres,419
Joaquin Salvachua,413
Norikazu Takahashi,412
Yong Li,397
Bhaskar Dutta,392
Denis Collange,378
Dror Y. Kenett,370
Fabio Pasqualetti,365
Daniel Camara,344
Masato Uchida,336
Michael Szell,326
Tim Weninger,314
Aaron Curtis,307
Sean Warnick,305
Rui Fa,303
Emilio Ferrara,285
Marti Rosas-Casals,268
Brian Keegan,259
Saamer Akhshabi,251
Alireza Abbasi,248
Norbou Buchler,233
Ilya Safro,213
Cheol E. Han,207
Kenneth Chung,207
Osman Yagan,202
Amir Ajorlou,197
Brooke Foucault Welles,197
Antonios Garas,192
Takamitsu Watanabe,187
Mori Shintaro,173
Soheil Feizi,170
Paulo Shakarian,163
MHR Khouzani,151
David Jurgens,145
Andrew Terhorst,144
Matteo Convertino,140
Dr Shahadat Uddin,137
Baruch Barzel,135
Wang Zhen(王震),128
Mina Youssef,120
Adam Dunn,116
Kostyantyn Borysenko,111
Matteo Fraschini,104
giovanni scardoni,102
Heszberger Zalán,97
Gautam S. Thakur,96
Pin-Yu Chen,93
Ali Dabirmoghaddam,92
Nicholas Weller,89
Kun Zhao,88
Michael Zargham,87
Shusen Yang (杨树森),87
Morteza Mardani,86
Neil Dawson,86
Michael L. Barnett,85
Lilian Weng,81
Ferenc Molnár Jr,75
Y William Yu,73
Pierpaolo Cavallo,71
Gabriela Vaz Meirelles,65
Petko Bogdanov,63
Jennifer Badham,63
Somwrita Sarkar,62
Zhan Su (苏湛),60
James Atwood,59
Kevin Shuai Xu,58
Erick Stattner,57
Manas Hardas,53
Sakshi Pahwa,51
Haotian Zhang,50
Sangsu Jung,50
Taro Takaguchi,50
Tom Brughmans,48
Davide Cellai,47
Delia Mocanu,44
Telmo Menezes,37
Brian Macdonald,35
Sorin Alupoaie,35
Zhang Xiao-Fei (张 晓飞),35
Paul Wong 黃仲熙,34
Anas F. Bayan,32
Scott B. Weingart,29
Matthew Stabeler,28
Feng Bill Shi,28
Matthew Stabeler,27
Logan Harriger,26
José Devezas,25
Daniel Smilkov,24
Christos Nicolaides,23
David M. Gyurko,23
Siddharth Pal,22
Klaus Wehmuth,21
Gaurav Tuli,19
Achmad Basuki,17
Joel Nishimura,17
Chuan Tang,17
Liwen Xu,15
Junjian Qi,15
Xiaoran Yan,14
Richard Betzel,14
Marcos Oliveira Jr,14
Katherine Ognyanova,13
David E Hines,11
Ashish Hota,10
Amit Agrawal,10
Luca Pappalardo,9
Nuno Cravino,9
J. Tipan Verella,8
Gregorio Alanis-Lobato,8
Prithwish Basu,8
Arnold Emerson I,7
Le Ou-Yang (欧阳 乐),7
Hasala Peiris,6
Jun Ai (艾均),6
Jean-Gabriel Young,5
Dhammika H De Silva,3
Kaeser Md. Sabrin,3
Abhinav Maurya,3
Andry Alamsyah,3
Md Hasanuzzaman Bhuiyan,3
Sivarit Sultornsanee, Ph.D.,3
